Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2010,Afghanistan,Afghanistan,AFG,AFG,0,0,351907,0,0,0,838250
2010,Australia,Afghanistan,AUS,AFG,5518,68,0,0,0,0,0
2010,Austria,Afghanistan,AUT,AFG,7359,2696,0,0,0,0,0
2010,Azerbaijan,Afghanistan,AZE,AFG,718,0,0,0,0,0,0
2010,Belgium,Afghanistan,BEL,AFG,501,0,0,0,0,0,0
2010,Belarus,Afghanistan,BLR,AFG,417,55,0,0,0,0,0
2010,Brazil,Afghanistan,BRA,AFG,22,0,0,0,0,0,0
2010,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,0,11,0,0,0,0,0
2010,Bulgaria,Afghanistan,BGR,AFG,2048,402,0,0,0,0,0
2010,Canada,Afghanistan,CAN,AFG,2727,592,0,0,0,0,0
2010,"Cayman Islands",Afghanistan,CYM,AFG,0,5,0,0,0,0,0
2010,China,Afghanistan,CHN,AFG,7,0,0,0,0,0,0
2010,Chile,Afghanistan,CHL,AFG,12,0,0,0,0,0,0
2010,Colombia,Afghanistan,COL,AFG,0,5,0,0,0,0,0
2010,Cyprus,Afghanistan,CYP,AFG,7,112,0,0,0,0,0
2010,Czechia,Afghanistan,CZE,AFG,224,7,0,0,0,0,0
2010,Denmark,Afghanistan,DNK,AFG,4467,974,0,0,0,0,0
2010,Ecuador,Afghanistan,ECU,AFG,114,24,0,0,0,0,0
2010,Estonia,Afghanistan,EST,AFG,12,0,0,0,0,0,0
2010,Fiji,Afghanistan,FJI,AFG,0,5,0,0,0,0,0
2010,Finland,Afghanistan,FIN,AFG,807,235,0,0,0,0,0
2010,France,Afghanistan,FRA,AFG,1790,0,0,0,0,0,0
2010,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,23406,0,0,0,0,0,0
2010,Georgia,Afghanistan,GEO,AFG,5,0,0,0,0,0,0
2010,Germany,Afghanistan,DEU,AFG,30404,7024,0,0,0,0,1073
2010,Greece,Afghanistan,GRC,AFG,96,4552,0,0,0,0,0
2010,"China, Hong Kong SAR",Afghanistan,HKG,AFG,6,6,0,0,0,0,0
2010,Croatia,Afghanistan,HRV,AFG,5,16,0,0,0,0,0
2010,Hungary,Afghanistan,HUN,AFG,1767,54,0,0,0,0,0
2010,Iceland,Afghanistan,ISL,AFG,6,0,0,0,0,0,0
2010,India,Afghanistan,IND,AFG,9094,223,0,0,0,0,0
2010,Indonesia,Afghanistan,IDN,AFG,259,1207,0,0,0,0,0
2010,Ireland,Afghanistan,IRL,AFG,157,181,0,0,0,0,0
2010,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,1027577,1639,0,0,0,0,0
2010,Italy,Afghanistan,ITA,AFG,3665,304,0,0,0,0,0
2010,Jordan,Afghanistan,JOR,AFG,15,36,0,0,0,0,0
2010,Japan,Afghanistan,JPN,AFG,54,0,0,0,0,0,0
2010,Kazakhstan,Afghanistan,KAZ,AFG,593,22,0,0,0,0,0
2010,Kyrgyzstan,Afghanistan,KGZ,AFG,415,232,0,0,0,0,0
2010,"Rep. of Korea",Afghanistan,KOR,AFG,7,16,0,0,0,0,0
2010,Kuwait,Afghanistan,KWT,AFG,0,1794,0,0,0,0,0
2010,Lebanon,Afghanistan,LBN,AFG,9,6,0,0,0,0,0
2010,Lithuania,Afghanistan,LTU,AFG,108,0,0,0,0,0,0
2010,Luxembourg,Afghanistan,LUX,AFG,0,16,0,0,0,0,0
2010,Latvia,Afghanistan,LVA,AFG,19,22,0,0,0,0,0
2010,"North Macedonia",Afghanistan,MKD,AFG,0,29,0,0,0,0,0
2010,"Rep. of Moldova",Afghanistan,MDA,AFG,13,8,0,0,0,0,0
2010,Malaysia,Afghanistan,MYS,AFG,430,76,0,0,0,0,0
2010,Morocco,Afghanistan,MAR,AFG,8,0,0,0,0,0,0
2010,Malta,Afghanistan,MLT,AFG,8,0,0,0,0,0,0
2010,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,6731,1510,0,0,0,0,0
2010,Norway,Afghanistan,NOR,AFG,5396,2249,0,0,0,0,0
2010,"New Zealand",Afghanistan,NZL,AFG,172,12,0,0,0,0,0
2010,Pakistan,Afghanistan,PAK,AFG,1899842,1946,0,0,0,0,0
2010,Panama,Afghanistan,PAN,AFG,0,5,0,0,0,0,0
2010,Poland,Afghanistan,POL,AFG,76,15,0,0,0,0,0
2010,Portugal,Afghanistan,PRT,AFG,6,0,0,0,0,0,0
